Seconds	EE
10	125.2519435646
20	209.4665271967
30	327.1940247836
40	362.2881355932
50	369.6261877852
60	325.4565913616
70	397.0570101525
80	371.1401425178
90	340.3062324779
100	385.981035131
110	336.1604382013
120	348.2283120964
130	362.0726725435
140	382.192896011
150	351.163200564
160	390.3026134801
170	351.3118888545
180	336.6958676223
190	356.4827039873
200	332.2847902175
210	373.3148980297
220	326.5342241494
230	358.805445762
240	352.7391227761
250	351.1646444071
260	347.9650259642
270	374.7184196846
280	335.5704697987
290	402.2740976828
300	726.6548570189
310	964.756841898
320	1080.2035528082
330	1066.4081434804
340	1071.6472749541
350	1060.4063869564
360	1060.8052337134
370	1083.8527434063
380	1072.9942671449
390	1064.610866373
400	1069.1842630372
410	1078.3993345415
420	1064.7892241003
430	1079.4140323824
440	1099.5951881944
450	1245.2915050318
460	654.0623403168
470	262.5122669284
480	219.7662601626
490	243.5233160622
500	214.8514851485
510	240.521910389
520	229.6626984127
530	236.9778236204
540	204.5116509668
550	243.9930641566
560	213.4357957362
570	246.7146045128
580	208.3746283449
590	239.8212512413
600	217.6499752107
610	227.408142999
620	234.6258335391
630	213.2936507937
640	240.9012131716
650	212.4969005703
660	227.3064556023
670	226.3638607751
680	217.3158025304
690	229.1563887519
700	212.0009918175
710	240.3369672944
720	215.2243987106
730	264.3933778107
740	261.9871478003
750	258.9395807645
760	221.9198416625
770	262.6362735382
780	252.4752475248
790	236.2869198312
800	262.8316389784
810	263.5504724018
820	226.3916500994
830	261.0641471905
840	258.5135471042
850	209.2154420922
860	252.9761904762
870	261.4541832669
880	220.75
890	259.1577373536
900	226.7368949085
910	258.9641434263
920	262.1167161227
930	227.4656679151
940	262.5
950	221.6108054027
960	244.4610405775
970	252.816020025
980	247.263681592
990	215.0431565968
1000	205.493133583
1010	190.7976994249
1020	215.628090999
1030	202.0282892981
1040	213.1677018634
1050	166.3296258847
1060	221.4160620465
1070	180.4990267209
1080	203.6852589641
1090	192.3169267707
1100	214.4825858181
1110	205.3728345468
1120	205.5415617128
1130	198.0870878429
1140	215.0564617315
1150	206.3332495602
1160	205.9783973876
1170	196.3220675944
1180	215.5974842767
1190	204.3064596895
1200	204.1989502624
1210	195.0977964843
1220	215.7405079205
1230	206.0301507538
1240	205.9634176898
1250	197.5124378109
1260	218.954248366
1270	206.9224981189
1280	204.8253329982
1290	241.066935078
1300	244.0298507463
1310	221.8318695107
1320	187.1196754564
1330	247.8632478632
1340	226.5290712308
1350	240.6565656566
1360	242.0045328633
1370	243.3929020891
1380	217.5668854114
1390	196.0685483871
1400	248.1806775408
1410	227.615694165
1420	241.6750756811
1430	240.7453416149
1440	244.0431402057
1450	219.4018597638
1460	196.3112683173
1470	249.2477432297
1480	228.1187122736
1490	241.517969339
1500	244.5172674565
1510	240.7360725989
1520	220.6739295668
1530	207.0693748351
1540	249.1836222055
1550	228.1187122736
1560	239.0329012961
1570	238.7080494575
1580	225.9944261464
1590	232.1295143213
1600	213.0940343782
1610	287.5243664717
1620	601.8981018981
1630	867.1116922442
1640	372.6834221884
1650	456.1074664167
1660	391.6040100251
1670	475.0907291323
1680	238.9911929544
1690	397.5363941769
1700	250.3026634383
1710	460.1039437481
1720	382.1892393321
1730	291.4012738854
1740	563.8052886524
1750	668.3305601775
1760	500.8003658815
1770	732.7035996936
1780	714.0590288797
1790	753.3112582781
1800	760.5711147721
1810	763.3168588688
1820	759.1768631813
1830	763.1073291243
1840	766.2730019225
1850	764.7708448371
1860	765.6293032223
1870	765.2221612726
1880	764.2230399094
1890	761.9839290662
1900	769.6551724138
1910	767.7437172052
1920	771.144278607
1930	770.9373266778
1940	763.8136511376
1950	772.4367879967
1960	770.2926559912
1970	770.2926559912
1980	770.5053852527
1990	772.4137931034
2000	770.9373266778
2010	769.4452188458
2020	769.2307692308
2030	770.7910750507
2040	771.7842323651
2050	774.354704413
2060	768.8037746323
2070	762.7357162961
2080	769.869842149
2090	768.592756428
2100	768.3772538141
2110	768.8037746323
2120	767.3130193906
2130	767.7329624478
2140	769.6566998893
2150	769.6566998893
2160	768.8037746323
2170	769.2307692308
2180	770.0831024931
2190	768.1641708264
2200	768.3710533669
2210	772.8662774534
2220	768.8053097345
2230	773.0812013348
2240	768.1755829904
2250	772.8401876898
2260	765.6163626313
2270	784.8594489285
2280	834.2922899885
2290	878.9920890712
2300	919.8645598194
2310	959.2801154532
2320	955.7542025074
2330	945.0004181418
2340	925.4143646409
2350	916.9038756295
2360	918.7220658831
2370	915.1047409041
2380	918.8234644887
2390	916.519434629
2400	914.0969162996
2410	915.4890856106
2420	914.9534255636
2430	913.8560333708
2440	919.0057022643
2450	913.644119104
2460	900.3831417625
2470	812.5677139762
2480	811.2493239589
2490	814.1736543143
2500	813.2285172133
2510	811.8381754005
2520	812.9418162045
2530	811.3475177305
2540	813.5135135135
2550	813.5135135135
2560	813.7334414707
2570	813.9534883721
2580	813.5135135135
2590	810.737527115
2600	815.2173913043
2610	815.7181571816
2620	815.0555104251
2630	811.6971850232
2640	818.3306055646
2650	817.8844056707
2660	816.1044613711
2670	817.6614881439
2680	820.1634877384
2690	816.716744059
2700	817.3865500273
2710	814.4919640425
2720	819.4482381863
2730	816.3265306122
2740	815.1147098516
2750	819.2705498095
2760	820.1634877384
2770	822.1797323136
2780	819.4482381863
2790	819.6721311475
2800	820.7934336525
2810	817.0995670996
2820	821.9552157291
2830	820.3445447088
2840	818.553888131
2850	819.6721311475
2860	819.6721311475
2870	823.0790265245
2880	821.7308217308
2890	819.8961464881
2900	819.0008190008
2910	820.1202843084
2920	820.8344695937
2930	822.6291336431
2940	819.8961464881
2950	819.4482381863
2960	819.7167755991
2970	819.0008190008
2980	819.4482381863
2990	820.6106870229
3000	819.2705498095
3010	822.1797323136
3020	820.8344695937
3030	820.4688393368
3040	819.7167755991
3050	819.8961464881
3060	823.1125647315
3070	834.7062053817
3080	862.3087621697
3090	896.6096945923
3100	946.3276836158
3110	958.7539010881
3120	943.4224035073
3130	929.0493833988
3140	880.3611738149
3150	156.1302681992
3160	145.6462319406
3170	1018.8775365805
3180	874.6928746929
3190	1076.4041648336
3200	1072.4415031907
3210	1064.1089181074
